feature,importance
txn_sub_threshold_ratio,0.2830727952314367
txn_amount_mean,0.2542314419736745
txn_amount_sum,0.14658426850234596
txn_amount_std,0.0886008826233798
txn_amount_max,0.08446856535793824
txn_amount_cv,0.07516573841120892
auth_off_hours_rate,0.028369706217669363
auth_fail_rate,0.012436095604099372
auth_fail_count,0.004985770899779725
graph_degree,0.0026180204431874585
auth_unique_countries,0.002610183918649952
graph_betweenness,0.0024280961024228244
auth_challenge_count,0.0018459918478108826
auth_challenge_rate,0.0017201872153076699
auth_total,0.0016487033561405754
txn_rapid_ratio,0.0015277343829628715
txn_unique_counterparties,0.0013169543175549474
graph_clustering,0.0012527862045276996
auth_unique_devices,0.0011695276833589216
benef_change_count,0.0011653655294038055
auth_unique_cities,0.001120108168732233
txn_total,0.001046933225904201
benef_unique_new,0.000614142782503402
